TEXTBODY,Category
Westchester Hospital is still trying to understand below purpose invoices. I need to know if this is a late fee to be pay. confirm.,Other
"all, Tsunami should not be owing money to ABC, the business was closed on January 31, 2019. We had informed Mickey of it the restaurant closure. communicate with him regarding the balance. As a matter of fact, we should not have been charged for last month. you.",Other
This was paid and should have been received at your office on 4/4/2019. see attached.,Paid by Customer
 forward me the 2 credits. The 2 invoices were paid 4.1.19 w/ 9000431392,Paid by Customer
"all, could someone get me hooked up to the electronic Bill pay that I am currently using with Latte lounge? advise ",Other
"I forwarded this to our finance department. I didnt realize that this had changed. I will keep you posted. Suzanne Vanderschueren Retail Sales and Service Administratorl508-895-1388(o)l508-895-1676 (f)l770 Oak Street, Brockton, MA 02301lwww.harborone.com",Promised
"**DO NOT REPLY TO THIS EMAIL** OBM Shared Services Customer, you for submitting your invoice(s) to OBM Shared Services. The attached e-mail was sent to OSS on(4/8/19). Upon further review the original email contained an file that was in unrecognizable format, which caused an error in the ability for our payment system to read the document. Due to the un-recognizable format, the payment system was unable to distinguish and process the documents. check your attachments prior to sending to ensure there is only one (1) invoice per attachment in the acceptable formats (PDF, JPEG, TIFF, etc.) and that you are not forwarding an e-mail within an e-mail. For future reference, all Accounts Payable/Invoice inquiries should be directed toohiosharedservices@ohio.gov. You may also contact us by phone at 1-877-644-6771. For important information and training regarding invoice submission and other services provided by OBM Shared Services, you may visit our website atwww.ohiosharedservices.ohio.gov. **Note**Any attachments that arenotin one of the acceptable file formats (PDF, TIFF, TXT, JPEG, JPEG2000) as well as failure to provide the invoice with the e-mail, may delay the processing of the Vendors invoice. ***Also Note ***Microsoft allows users to save Word and/or Excel documents as PDFs, by changing the Save As Type drop-down to PDF.",Statement
"Payment for month of march has been sent. I appreciate you sending no more notices as we pay our bill every month, ALL MONTHS ALL THE TIME. advise to whom it should concern, that sending these notices the first week of the next month is pretty silly, especially for accounts that have always paid there bills. Heath Pollard Food Service Coordinator St Josephs Convent 409 Pool Street Biddeford, ME 04005 207-283-9051 Ext. 4403",Paid by Customer
Good morning Invoice 223294 3/07/19 in the amount of $3827.47 was processed and mailed 4/03/19 on check 215615.,Paid by Customer
 Coincidentally we just received a bill of our outstanding balance. The terms state ACH28. Was the finance department notified that the terms have changed?,Statement
"Sandi, double check and confirm if we are indeed overdue, account should be on auto pay Thanks",Paid by Customer
"All of these were items shipped to our Food Service Warehouse on Taft Road, the offices. We are given packing slips but invoices are never issued to us for these items. Can you make sure when these items are drop shipped to us we are mailed or invoiced a copy. I never had any of these invoices to pay. I will include these invoices in my April payment next week.",Other
O.K.,Paid by Customer
The most current invoice is scheduled to pay 4/10/18. send copies of the other two invoices. you. Rhonda Carmona-McFarland Veterans Canteen Service Finance Center 314-845-1313ph,Statement
" I have had auto payments set up on this account from the beginning. I have called twice and left messages about paper invoices I get indicating there is something due when there are direct weekly deductions in place. No one has called me back or responded at all to my voicemails. I am not sure what is going on but there appears to be a issue with the ABC system. Jeff, can you look into this?",Paid by Customer
I am currently out of the office.,Out of office
"ABC Business Services24500 Hwy 290Cypress, TX 77429281-758-6000 Total Overdue Balance: USD 1,974.47 Total Balance: USD 4,010.54 4/7/2019 PABLOS BOWLS NORTH, We you for your business.  This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through ABC Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 1,974.47 Overdue: USD 1,974.47 For your convenience, a link to ABC Account Center is provided below to make a payment. ABC Account Center On ABC Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule  payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
"I do not have an invoice for that amount. Could you possibly provide an invoice number or a copy so that I may research it? I am unable to open your attachment. Regards, Suzie Taylor Hide-A-Way Lake Club, Inc. 101 Hide-A-Way Lane Central Hideaway, Texas 75771 903.882.6151 Voice 903.882.7021 Fax visit our website:www.hideawaytexas.net. consider the environment before printing this email.",Statement
"ABC Business Services24500 Hwy 290Cypress, TX 77429281-758-6000 Total Overdue Balance: USD 1,142.36 Total Balance: USD 4,012.51 4/7/2019 PABLOS BOWLS SU, We you for your business.  This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through ABC Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 1,142.36 Overdue: USD 1,142.36 For your convenience, a link to ABC Account Center is provided below to make a payment. ABC Account Center On ABC Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule  payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
"ABC Business Services24500 Hwy 290Cypress, TX 77429281-758-6000 Total Overdue Balance: USD 938.81 Total Balance: USD 3,153.87 4/7/2019 PABLOS BOWLS K, We you for your business.  This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through ABC Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 938.81 Overdue: USD 938.81 For your convenience, a link to ABC Account Center is provided below to make a payment. ABC Account Center On ABC Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule  payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
"ABC Business Services24500 Hwy 290Cypress, TX 77429281-758-6000 Total Overdue Balance: USD 983.63 Total Balance: USD 983.63 4/7/2019 BERLIN ORGANICS, We you for your business.  This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through ABC Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 983.63 Overdue: USD 983.63 For your convenience, a link to ABC Account Center is provided below to make a payment. ABC Account Center On ABC Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule  payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
How is it the ABC is still rubbing sticks to make fire. How are their systems so out dated from the 60s The payment was made over the weekend. I got sidetracked and forgot on Friday. I get an email confirming the payment yet ABC has no clue I made it. ,Paid by Customer
I just made these payments. Not sure why I'm receiving this. I will not make payments on the two small amounts because I never received an invoice for those amounts and there is no invoice attached to them in the SAC. ThanksRyan,Paid by Customer
"this, along with all other outstanding invoices, was paid last friday as i am sure you are well aware in your system. seems like a flaw in your automated system that should be addressed so that good customers dont come into a rainy monday morning to messages such as this.",Paid by Customer
"I received a statement. I do not have invoice 12413249S. If this is a service charge, remove. If not, send the invoice. you Linda Butts Business Office Manager 2001 West Algonquin Road Algonquin, IL 60102 Office: 847.458.6800 Fax: 847.984.1895",Statement
 Could you send the invoice copies for processing the payment. you!!!,Statement
" Can you tell me when you are going to fix our account? I sent you over proof showing what Check# 10951 and 11025 paid. I just went on our account and see they still have not been fixed. What do I need to do so this problem can be resolved. I sent over the attachment again, showing what these checks actual paid.",Paid by Customer
" $254.56 paid, copy attached.",Paid by Customer
"Jonathan, Our A/P person has not received the invoices #290070075 and #290073815. I am copying Beth on this email and Im sure she will forward the invoices today. Sincerely,",Statement
Need a copy of Invoice #290073418 & CM 19008311P,Statement
"Shen Bislimi Patio Food Products, Inc. 7216 W. 91st Street",Other
"Shreesh, find the below payment status for the requested invoices. Vendor Name Invoice # Invoice Date Amount Voucher Status Check # Check Date 136907130 3/6/2019 $305.18 3253363 Your Invoice has been processed and we will notify home office as per request - - OBCL136414030 12/22/2017 ($31.49) 3248669 OBCL13613770P 11/3/2018 ($18.40) 3248668 OBCL136753158 10/20/2018 ($5.36) 3248670 Paid 138796 3/12/2019 ABC Food Service - San Diego 136875222 2/6/2019 $301.48 3243681 Paid 138796 3/12/2019",Paid by Customer
I am out of the office Thurs. 4/4 - Tues. 4/9 AM & will get back to you as soon as I can - thanks!,Out of office
 see below status on account 347161. you and let me know if you have any questions. 178575073 dated 3/14/19 paid 4/03/19 check #6295 178570767 dated 3/06/19 paid 3/27/19 check #6291 178565767 dated 2/28/19 paid 3/27/19 check #6291 178565768 dated 2/28/19 paid 3/27/19 check #6291,Paid by Customer
"Brian, The last time I talked you to you about this invoice your said that you only receive one. Did you receive any credits yet? Lucila",Statement
I cant open attachment. Can you resend. Cathy ,Statement
 How do I register to pay on line? The link provided does not seem to provide for registration.,Other
"The email address you are sending to has been experiencing Spam issues. The message you sent requires that you verify that you are a real live human being and not a spam source. To complete this verification, simply reply to this message and leave the subject line intact or click the link below: https://urldefense.proofpoint.com/v2/url?u=http-3A__www.ottospubandbrewery.com_cgi-2Dsys_bxd.cgi-3Fa-3Dvicky-40ottospubandbrewery.com-26id-3Dpp5vT-5FFzA0i8qx4Jk0mXC-2D1554730930&d=DwIBAg&c=Iej4I5bEYPmgv5l2sS6i8A&r=KgW47i2uWqtu55sGdBi10gQeeSkuHMUYWauAwfk68MCPcXZBWVRytN-NMu2PAvVm&m=z1i9gQKt6fQZOIfVzrw53LaNq2EtcYSd0wVFKVoulxQ&s=NvYhqH68mMCK_EK3JoXL0zW0H8QosErA9mGTe8Up0Zk&e= The headers of the message  From ABC.customer.credit=sbs.ABC.com__yyapv9zm0ehajim4@hn2g3x8pwf6mr4jp.q1lc6e2fnrm4u9s5.0ho2.6a-2fc9juac.na94.bnc.salesforce.com Mon Apr 08 08:42:10 2019 Received: from smtp09-ia2-sp2.mta.salesforce.com ([13.110.14.184]:11089) by gator4167.hostgator.com with esmtps (TLSv1.2:ECDHE-RSA-AES256-GCM-SHA384:256) (Exim 4.91) (envelope-from ) id 1hDUXJ-004G7K-Ik for vicky@ottospubandbrewery.com; Mon, 08 Apr 2019 08:42:10 -0500 Authentication-Results:  mx2-ia2-sp2.mta.salesforce.com x-tls.subject=""/C=US/ST=California/L=San Francisco/O=salesforce.com, inc./OU=0:app;1:ia2;2:ia2-sp2;3:na94;4:prod/CN=na94-app1-16-ia2.ops.sfdc.net""; auth=pass (cipher=ECDHE-RSA-AES256-GCM-SHA384) Received: from [10.227.193.13] ([10.227.193.13:41312] helo=na94-app1-16-ia2.ops.sfdc.net) by mx2-ia2-sp2.mta.salesforce.com (envelope-from ) (ecelerity 4.2.38.62368 r(Core:release/4.2.38.0)) with ESMTPS (cipher=ECDHE-RSA-AES256-GCM-SHA384 subject=""/C=US/ST=California/L=San Francisco/O=salesforce.com, inc./OU=0:app;1:ia2;2:ia2-sp2;3:na94;4:prod/CN=na94-app1-16-ia2.ops.sfdc.net"") id E6/D0-18129-6AF4BAC5; Mon, 08 Apr 2019 13:41:58 +0000",Other
"The email address you are sending to has been experiencing Spam issues. The message you sent requires that you verify that you are a real live human being and not a spam source. To complete this verification, simply reply to this message and leave the subject line intact or click the link below: https://urldefense.proofpoint.com/v2/url?u=http-3A__www.ottospubandbrewery.com_cgi-2Dsys_bxd.cgi-3Fa-3Dvicky-40ottospubandbrewery.com-26id-3Doh45TtGScNag1asphjVEY-2D1554730934&d=DwIBAg&c=Iej4I5bEYPmgv5l2sS6i8A&r=KgW47i2uWqtu55sGdBi10gQeeSkuHMUYWauAwfk68MCPcXZBWVRytN-NMu2PAvVm&m=cGtKHhNM03VydjHoaQxq59xqLontoTR2ZSqn1XYEOMk&s=SsHNFs_azh9sqgXunClO_IBUbQnxayJDn67SewvwlLk&e= The headers of the message  From ABC.customer.credit=sbs.ABC.com__0-r22rmizhvskf5w@mvsjegz1b0o40bte.o1ghyngu2gnz1tc5.18wkxo.6a-2fc9juac.na94.bnc.salesforce.com Mon Apr 08 08:42:14 2019 Received: from smtp09-ia2-sp2.mta.salesforce.com ([13.110.14.184]:20471) by gator4167.hostgator.com with esmtps (TLSv1.2:ECDHE-RSA-AES256-GCM-SHA384:256) (Exim 4.91) (envelope-from ) id 1hDUXO-004G9S-9n for vicky@ottospubandbrewery.com; Mon, 08 Apr 2019 08:42:14 -0500 Authentication-Results:  mx3-ia2-sp2.mta.salesforce.com x-tls.subject=""/C=US/ST=California/L=San Francisco/O=salesforce.com, inc./OU=0:app;1:ia2;2:ia2-sp2;3:na94;4:prod/CN=na94-app1-16-ia2.ops.sfdc.net""; auth=pass (cipher=ECDHE-RSA-AES256-GCM-SHA384) Received: from [10.227.193.13] ([10.227.193.13:40422] helo=na94-app1-16-ia2.ops.sfdc.net) by mx3-ia2-sp2.mta.salesforce.com (envelope-from ) (ecelerity 4.2.38.62368 r(Core:release/4.2.38.0)) with ESMTPS (cipher=ECDHE-RSA-AES256-GCM-SHA384 subject=""/C=US/ST=California/L=San Francisco/O=salesforce.com, inc./OU=0:app;1:ia2;2:ia2-sp2;3:na94;4:prod/CN=na94-app1-16-ia2.ops.sfdc.net"") id 8E/09-17948-9AF4BAC5; Mon, 08 Apr 2019 13:42:01 +0000",Other
Im just following up with this. Have you been contacted by Connie Gray from our corporate office? Pam Braddy Dietary Services Manager O: 252-451-2308,Other
 not sure where this is stemming from. Our last two payments: ABC Inv#: 237397249 Amt: $467.99 Chk#: 9851 ABC Inv#: 237435269 Amt: $629.97 Chk#: 9873 Thomas Goughthomasgough1@gmail.com,Paid by Customer
You all have a serious problem with your accounting department! You probably need to get a good look at your employees in the accounting department both from a local level and main office level and get some heads moving instead of sending me reminders. You all have a problem!!!!!! ,Other
Great! Im glad it worked out. Pam Braddy Dietary Services Manager O: 252-451-2308,Paid by Customer
"We have invoices set to pay this week for payment. If you can provide ACH information we can ach payments to you. Christy Forrest Accounts payable Specialist Tel:704-707-0332 Email:c.forrest@pregelamerica.com PreGel America 4450 Fortune Ave NW|Concord, NC 28027 Tel: 704 707 0300",Promised
What in the world? I talked to Donnie the other day about this. The balance due is wrong and my terms are 3 days but should be 7 days?? Charlotte Ikerdc/t: (606) 416-5100char.ikerd@gmail.com,Other
Figure out you new system and stop sending pointless emails!! Thanks,Paid by Customer
P.ImprintUniqueID { LI.ImprintUniqueID { MARGIN: 0cm 0cm 0pt,Statement
"check number 25248 amount 1654.69 for invoices 194622068 amt 1103.39 and 194616838 551.30 was mailed April 5th. On Friday, April 5, 2019, 8:47:37 AM CDT, ABCwrote: ABC Business Services24500 Hwy 290Cypress, TX 77429281-758-6000 IGA ST JOSEPH PO BOX 829 SAINT JOSEPH, IL Total Overdue Balance: USD 551.30 Total Balance: USD 3,610.01 4/5/2019 IGA ST JOSEPH, you for your business.  This is a second reminder for payment on your account. If you have made payment, kindly disregard this notice. If payment has been submitted online through ABC Account Center, allow 1 business day for payment processing. review the below details regarding past due or skipped invoices. We currently show a past due balance of . Overdue:USD 551.30 For your convenience, there is a link below to make payment.. ABC Account Center On ABC Account Center you can view copies of invoices and statements as well as make a payment. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Paid by Customer
Sent to the wrong account,Contact Update
Capture Can I get a copy of the invoice 113357405 from 3/15/19 in the amount of $38.89 forwarded to me? It is not available on your website.,Statement
Because they are purchased through Procurement Partners we have no physical check stub. What I sent you was what the check stub would read. The check can not be reversed because it has already cleared the bank unless I am misunderstanding the below.,Paid by Customer
 Weve sent a few payments recently. I have updated the statement sent over with this email. The items in yellow we dont have on the books.,Paid by Customer
"send Judy the invoices that havent been paid below. 183978067 3/1/2019 4/5/2019 3 $0.00 $0.00 $14,569.76 $14,569.76 INV 18316784S 9/10/2018 10/19/2018 171 $0.00 $0.00 $131.18 $131.18 INT 18315950S 8/10/2018 9/14/2018 206 $0.00 $0.00 $79.60 $79.60 INT 18320257S 1/10/2019 2/15/2019 52 $0.00 $0.00 $42.97 $42.97 INT OBCL183969540 3/28/2019 3/28/2019 11 $0.00 $0.00 $0.00 $9.58 INV 18318475S 11/10/2018 12/14/2018 115 $0.00 $0.00 $2.82 $2.82 INT These were not short paid below. 183543893 3/9/2018 4/13/2018 360 $0.00 $0.00 $16,228.42 ($3.04) INV 183967960 2/22/2019 3/29/2019 10 $0.00 $0.00 $15,906.96 ($9.58) INV 183738611 8/21/2018 9/28/2018 192 $0.00 $0.00 $17,778.30 ($24.72) INV -  03/09/18  183543893  16228.42 X1  00116999  CHECK DATED  03/26/18 -  02/22/19  183967960  15906.96 X1  00146163  CHECK DATED  03/26/19 -  08/21/18  183738611  17778.30 X1  00131559  CHECK DATED  09/26/18",Statement
"No !! Please! You cant do this to me! My business will go under. Just kidding, its Devin again, the actual owner of the email, howaboutthemapples@yahoo, NOT A CUSTOMER OR EVEN AN INTERESTED PARTY TO YOUR FUCKING BUSINESS. How does this practice keep cropping back up? Im considering a lawsuit for invasion of privacy and harassment. Cease and desist immediately. Devin",Contact Update
Its posting for payment.. Tomrrow!!!!,Promised
On the first three invoices thse invoices were to be adjust by Shawn Poole. The milk delivered was expired.,Other
"Kerri, I tried to open the spreadsheet that you sent over but it would not work when I tried so I am unsure which location you are referring to, can you tell me which Ocean Prime this is for? Also I noticed that you still have our old address listed in your email - we move two years ago, the new Home Office address is: 390 W. Nationwide Blvd. Suite 300 Columbus, OH 43215 Also I wanted to review that we are on net 60 terms and we mail a check out each month to be received on your end by the 15th, can you confirm you have us setup on those terms?",Contact Update
"see the attached updated statement; all invoices have been paid. Can you remove the finance charges on the account? you,",Paid by Customer
"These were paid 4/5/19 via ACH. you,Jamie WaughtalAccounts Payable ManagerFortney CompaniesP (608) 784-1225 ext. 1010Direct 608-406-2909F (608) 784-0520 **note new phone number**",Paid by Customer
"forward any open invoices to me, so I can send them to Accounting to be paid. I would appreciate it! Gina Shocklee Office ManagerSt. Rose Philippine Duchesne314-837-3410",Statement
"send me the invoices. I have contacted ABC numerous times because of missing invoices, now, because of that, we are suspended. I have invoices ready to pay with a 4-10-10 due date, 252547625, 252561085 and 252586849. What am I missing? Again, I cannot stress enough, if ABC does not send invoices, or respond to requests for invoices, I cannot pay. send any open invoices not listed here for payment, or call me at 541-926-6001 Ext. 498.",Statement
HiWe gave checks when sales person comes We give checks everyweek,Promised
may I get an invoice for the amount of $48.65 that is 46 days old under the account number ofOBCL174504642you,Statement
"you for your email. I am currently out of the office and will return on Wednesday, April 10, 2019. I will respond to your email upon my return.",Out of office
for your information request.  Someone will get back to you within 24 hours. DO NOT REPLY TO THIS EMAIL Ciao,Other
" Was Check # 054369 for $20483.37 applied to this account (copy of check below)? If so, what is the balance due to prevent this stop?",Paid by Customer
What invoice do you show outstanding? My records show two outstanding invoices. 873.00 and 794.37,Statement
"Sanjeev, I am looking into this & will get back to you.",Other
"Hi- I am currently out of the office. If you need assistance, contact Janice Connelly or Chris Meeks. you. Adrienne Greene",Out of office
"Tracy, We have made two payments in the recent past 1:Mailed 4-2-19 amount of $7,918.58, check# 3303 2: Mailed 3-19-19 Amount of 5,250.24, check# 3288 help me understand why there is a current hold on the account",Paid by Customer
Hi! I have moved to Dallas and am no longer working in the office. refer to the following addresses for assistance: Stanley's Famous Pit BBQ:,Contact Update
"The invoice from the attached statement was paid in full on the ACH direct deposit payment initiated on 4/4/2019. Payment voucher is attached. you,",Paid by Customer
Im currently in the process of a sale of this business. I should be closed in another two- three weeks. A3 Management Group Incanthony@a3mgmt.com,Other
Paid this morning,Paid by Customer
 see below. I responded to our notice last week and never heard back. If someone will confirm that the check is not in process somewhere within ABC I will reissue the check. Courtney K.,Paid by Customer
A check mailed out on Friday for the invoices outstanding as shown in that attachment. I made an online payment today for all others due by 4/5 per the 20190408_09732.pdf attachement. This should have everything past due as of today paid. Terri Terri Khan | Lead Accounting Generalist |P 850.424.6431 x 1005 | M 678.480.0671 Banyan Investment Group Gulfstream West| 10065 Emerald Coast Pkwy C201A | Miramar Beach FL 32550 |banyan-ig.com,Paid by Customer
" Greetings for the day. for providing the statement. find the enclosed reconciled statement. Vendor Name ABC - AC No 676502 Property Name Four Seasons Hotels - Miami use the following email addresses to respond: Sending Invoices :Fshinvoicesmiami.Ig@Capgemini.Com Sending Account Statements :FSHstatements.ig@capgemini.com Vendor Assistance / Inquires :FSHhelpdesknam.ig@capgemini.com For any queries, email us FSHstatements.ig@capgemini.com Or contact FSHhelpdesknam.ig@capgemini.com Toll Free: : 866-363-8810 To send any missing invoice copy e-mail atFshinvoicesmiami.Ig@Capgemini.Com Four Seasons Hotels - Miami Vendor/Supplier ABC - AC No 676502 Received Date 4/1/2019 Statement Date 3/31/2019 Reconciliation Date 4/8/2019 Phone No 305-651-5421 Email ID ABC.customer.credit@sbs.ABC.com;carter.jamila@sfl.ABC.com;rajput.mridul@corp.ABC.com;alvarez.veronica@corp.ABC.com;Alvarez.Veronica@sbs.ABC.com;Guenthner.James@corp.ABC.com Vendor Code ABC Balance Amount $2,930.33 S. No. Invoice Date Invoice Number Invoice Amount Balance Amount Reconciliation Code New/updated response who to action Check No Check Date 1. 03/28/2019 216495951 $ 1,697.17 $ 1,697.17 2. 03/28/2019 216495951 - PMT $ (1,044.64) $ (1,044.64) Payment This line item represents a payment 3. 03/29/2019 216498515 $ 2,174.88 $ 2,174.88 4. 03/29/2019 216498516 $ 102.92 $ 102.92 Posted Unpaid The invoice is fully processed and will be paid on the next payment run Capgemini",Paid by Customer
"Wrong recipient. Jacqueline Zeiderman MS, RDN, CDN, LDN Vice President Food & Nutrition Svcs. Rockport Healthcare Services 323-636-9327 Direct",Contact Update
"Paul,I negotiated a settlement and made the payment weeks ago.Can you look into why I am still getting this?ThanksSteve Steve Gundlach,Steve's DinerTerrazu Cafe",Paid by Customer
"Yes, you! Sasha Yaltukhouski Accounts Payable Specialist Trident Seafoods 5303 Shilshole Ave NW Seattle, WA 98107 p: (206) 297-5830 e:syaltukhouski@tridentseafoods.com",Other
" use our AP Self-Serve Website for obtaining payment information. Use your A/P Vendor Number as your Login ID & Password. Your vendor number can be found on any previously issued check remittance:http://safeway.firstvendor.apexanalytix.com This website can provide you with the past 6 months of payment detail. You can search payment information by a date range, by invoice or by remittance number. This information can also be exported to Excel or PDF for easy research.",Other
"I need individual invoices if possible. Or, type up a credit and list those credits that are below for that amount.",Statement
"You've received an encrypted message from  pdorsett@starsinc.com To view your messageSave and open the attachment (message.html), and follow the instructions.Sign in using the following email address:  ABC.customer.credit@sbs.ABC.com",Other
" I am out of the office on Monday, 4/8. If something is needed immediately contact Jimmy Sims.",Out of office
Oh shit sorry! Ill write a check now,Promised
"body {height: 100%; color:#000000; font-size:12pt; font-family:times new roman, new york, times, serif;} STOP Sending these I am currently on EFT withdrawal so you probably already have this!!PLEASE update you systemKaren A Thorndike",Paid by Customer
Below is a list of invoices I have marked what I show as paid in our system. Can you send a copy of the other invoices so that I can get them processed for payment in this Fridays check run?  DiAnn Document # 166668022 OBCL166553299PD: 10/26/18 CK#93609 OBCL166587852PD: 10/26/18 CK#93609 OBCL166569586PD: 10/26/18 CK#93609 OBCL166569525PD: 10/26/18 CK#93609 16612416S 166702553PD: 12/21/18 CK#94253 166706034PD: 12/21/18 CK#94253 166711508PD: 12/21/18 CK#94253 166716887 166715655 166715070PD: 12/21/18 CK#94253 166718868PD: 12/21/18 CK#94253 166722297PD: 12/21/18 CK#94253 166720440 166726048PD: 12/21/18 CK#94253 166729253PD: 2/1/19 CK#94681 166732433 166737721 166737720 166737685 166737350 166732463 166741043 166746504 166747676 166753247 166753334 16609079P 166761355 166762500 166768568 166770942 166768615 166778060 16613977S 166794680PD: 3/15/19 CK#95144 166796601 166801233 166806677 166801243 16614535S 166821572 166821638 166825455 166826216PD: 3/29/19 CK#95348 166826677 166826678 166833566PD: 4/4/19 CK#95450 166837706PD: 4/4/19 CK#95450,Paid by Customer
This is not jimmys hill topIve sent this message 10 times stop emailing us ,Contact Update
"I will be out of the office for the day, excuse any delays in response to your emails",Out of office
"Are you telling me, you don't have invoices for the credits? Auditors don't like that.",Statement
"A check for $1058.40 invoice 258559532 is on its way. We need copies of the following invoices: 258507307 $30.06 and 258575045 $30.96. Thanks Karl Kornack Ridley's Bakery Cafe 4054 Rochester Rd Troy MI 48085 248-689-8638 On Monday, April 8, 2019, 11:05:23 AM EDT, ABCwrote: ABC Business Services24500 Hwy 290Cypress, TX 77429281-758-6000 Total Overdue Balance: USD 1,088.46 Total Balance: USD 3,473.52 4/8/2019",Promised
"see the attached check stub, You should have received the payment, if not I am sure you will receive the check today. Let me know if you have any questions. Have a great day !!! Best Regards,",Paid by Customer
All Open invoices are paid on this account!,Paid by Customer
"You've received an encrypted message from  pdorsett@starsinc.com To view your messageSave and open the attachment (message.html), and follow the instructions.Sign in using the following email address:  ABC.customer.credit@sbs.ABC.com",Statement
"Are you drafting my account or do I need to send a check? Trace Catlin Trailblazer Grille 216 S. Main St Burnet, Texas 78611 512-756-7636 Office",Other
You disabled the ability to pay last week. Fix it and youd have it Get Outlook for iOS,Other
"Paid. Check # 23151 in the amount of $2,742.45 was mailed on 4/5/19",Paid by Customer
"I set up auto pay...my page does not show a balance...??  On Mon, Apr 8, 2019 at 2:49 AM, ABCwrote: ABC Business Services24500 Hwy 290Cypress, TX 77429281-758-6000 Total Overdue Balance: USD 1,115.16 Total Balance: USD 1,352.71 4/8/2019",Promised
"direct your questions to Tyler Braun, tylerbraun@hilakewood.com. He is the controller at Holiday Inn Denver-Lakewood and responsible for all accounts payable. Shane DoyleHoliday Inn Denver-Lakewood",Contact Update
"I will be making equal weekly installments until balance is cleared, if this is not amenable, I understand you will have to proceed as per your policy. ",Promised
 I just received notice from accounts payable about our account. I have emailed my representative Karl Kubina to obtain copies of the invoices that have not been paid. I have not received a reply from him as of today. keep me updated or contact me for any questions.,Statement
 you for your prompt response. Can you provide us the amount on the check and invoice against which check is presented .,Paid by Customer
Paid yesterday!,Paid by Customer
This invoice has been paid on ABCaccountcenter on 4/7/2019,Paid by Customer
Mike I thought Nicole is charging the passdue to our credit card on your file. contact her and get back to me if I can be help to resolve the past due. Dinesha Panduwawala Owner/ AP Easton Pride Inc d/b/a Fast Stop 9543 Ocean Gateway Easton MD 21601 Tel. 443.564.3276 Fax. 410.770.8383,Other
let me know your phone number ASAP so I can deal with this debt immediately Thanks ,Other
"all, Payment for $3,990.00 ck # 3216 is being mailed out today for invoices 276318883, 276322019, 276333654.",Paid by Customer
" We have never received any of those invoices. In fact, I have reached out to your company several times requesting this.I need copy of all outstanding invoices and I would like to get in touch with the Credit & Collections Manager.",Statement
"Melanie, I just spoke to Mark and he said I need to speak to you. This is what I need. I need the credit in the amount of 3,184.73 which you state, is invoice # 504021493.(This credit is in the attachment for 180.26) So I need that credit for 3,184.73 and all of those invoices that were deducted from that credit. We have to run every invoice and credit through our system. If you are not able to provide this have your Controller call me.",Statement
" After reviewing the attached Statement of Account, it appears we are missing two invoices/credit memos. email to me invoice 243152516 dated for 2/21/19 and credit memo 243185603 dated 3/18/19.",Statement
"Rishabh, Could you forward copies of these open invoices, it looks like we are missing them.",Statement
Automatic reply to hiecypress@bnmanagementco.com is no longer active. contact houyc.gm@gmail.com.,Contact Update
"ABC,Michael Hatcher is no longer our accountant. Ccing the new accountants email address at Dine Strategy. change your system so all emails to go them.",Contact Update
